feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
241.80765583271824,-122.73367497796264,0.3146952249996062,12153412.0,1.098,2.221466636496e+25,72.919,87.362,137.885,122.696,125.314,124.561,83.706,21.051,0.127
241.65841034923017,-122.73679098704531,-0.13994240114841447,12153412.0,1.012,1.4274997148033e+24,73.703,97.318,-725.826,120.643,124.451,123.153,80.695,16.794,0.113
241.4905502651027,-122.74645313820655,-0.6681805255512825,13466757.0,1.294,4.4957819507422e+25,74.33,82.056,-875.812,119.998,123.546,122.064,80.106,5.13,0.128
241.28407534572105,-122.77969626516844,-1.234526161093081,15605633.0,0.907,5.4767887620461e+25,74.898,78.772,-1380.0,119.673,122.424,121.025,78.098,-28.94,0.0905
241.0432094872018,-122.82802870612429,-1.7672474603873956,15605633.0,0.967,5.5338687084932e+25,75.711,98.733,-1405.0,117.319,120.794,119.172,71.853,-23.401,0.0866
240.829505235976,-122.82369240736857,-2.125732023131959,65750060.0,0.937,1.6145105247935e+26,73.354,73.413,-48.146,110.112,107.506,108.387,-14.555,26.504,0.0719
240.68303186293852,-122.72217737811148,-2.212778787639577,65750060.0,5.551,1.4858421033291e+26,72.875,48.418,183.466,113.047,108.959,110.33,-11.964,532.978,0.466
240.55361608015767,-122.57352483072549,-2.0661078353474536,65750060.0,0.571,1.1297187225443e+27,72.15,39.733,19.57,114.965,110.173,112.037,-10.638,-32.867,0.0532
240.42293803447757,-122.3967562168451,-1.7113214128655598,65750060.0,0.852,1.4476852893788e+27,72.027,61.477,75.324,116.982,111.92,114.08,-8.562,15.868,0.0833
240.25058545977336,-122.23414612744664,-1.215434401898267,65750060.0,0.56,5.2790358134411e+26,71.949,71.212,32.122,119.779,114.244,116.617,-2.069,-82.689,0.0806
239.9764976989145,-122.1479663224441,-0.6743630471675075,65750060.0,0.452,1.965681468702e+27,71.447,42.218,36.404,122.739,116.671,119.218,4.318,25.96,0.0671
239.55676243588908,-122.18234041736238,-0.15508551824509853,65750060.0,0.878,9.1725242474606e+26,70.943,51.916,-7.455,124.689,119.085,121.448,5.903,40.023,0.117
238.97403282094373,-122.35136339819523,0.3289343837802767,65750060.0,0.642,2.585365700252e+27,70.749,64.635,-45.823,125.069,120.94,122.892,4.767,-6.916,0.075
238.24112753283103,-122.6348153891399,0.8264825719607634,81734746.0,0.662,2.566502174444e+27,70.651,69.958,-260.522,122.925,121.721,122.844,1.358,-7.748,0.0619
237.42175802486855,-122.95752318981745,1.4644247389727438,86933018.0,0.726,2.6523959018701e+27,69.894,30.521,-214.967,119.731,121.944,121.75,2.33,-45.789,0.0632
236.57325213177307,-123.24952827320408,2.361878760810084,86933018.0,0.721,6.1874697990641e+26,69.464,39.359,-284.003,116.764,121.473,120.026,4.465,-15.358,0.0635
235.73472894927764,-123.45992953391476,3.5954857242198814,86933018.0,0.673,1.2414039923384e+27,68.975,27.609,-65.156,115.419,120.466,118.414,9.088,-12.106,0.0544
234.9106590020707,-123.57452310261161,5.168449261728217,86933018.0,0.664,2.6854912449493e+27,68.337,22.763,-32.341,115.822,119.318,117.45,12.553,4.159,0.0658
234.0869848810532,-123.59917702171929,7.028140822220141,86933018.0,0.6,2.7727381479195e+27,67.688,23.557,81.24,116.963,118.212,117.082,11.288,-1.438,0.0626
233.2551669492926,-123.53462830339353,9.099548865041205,86933018.0,0.534,5.3461308162435e+27,67.112,36.006,92.389,118.697,117.512,117.519,11.91,6.055,0.0577
232.40297979290787,-123.38538582716302,11.28133206203418,86933018.0,0.451,4.0599912931936e+26,66.694,69.232,45.388,120.494,117.652,118.574,14.787,-14.924,0.056
231.52162905196678,-123.15204631646189,13.461351030051421,86933018.0,0.569,1.3919020485577e+27,66.354,66.101,-33.788,122.406,118.556,120.078,20.814,15.089,0.072
230.60780295970403,-122.82871653176977,15.527521607560983,86933018.0,0.411,1.2618778121457e+27,66.386,94.047,25.701,123.547,119.845,121.457,23.82,1.052,0.0583
229.67920847884682,-122.38690395175755,17.39220009592795,87168757.0,0.372,1.4612278314651e+26,66.24,43.611,-0.939,123.942,121.119,122.482,23.592,3.305,0.0579
228.76634135039106,-121.78421180384163,18.98439263978496,112628549.0,0.609,1.0446806742849e+28,65.717,18.542,-223.326,123.84,122.131,123.126,22.847,-11.267,0.0639
227.8972936237656,-120.98053989168304,20.230382787072287,112628549.0,1.062,7.3011690798759e+27,65.363,50.708,-215.748,123.789,122.982,123.543,20.137,69.189,0.0986
227.09487268985214,-119.94160321264151,21.049532147445646,112628549.0,6.352,6.3630747551035e+27,64.843,28.502,-103.953,124.007,123.595,123.86,19.147,859.365,0.555
226.36873195180456,-118.64722091584547,21.347522116428937,112628549.0,2.547,1.8902083581931e+27,64.555,38.825,108.233,124.568,124.067,124.221,19.21,248.213,0.223
225.7296247725549,-117.07645708432881,21.03990545938534,112628549.0,1.901,6.7521608109132e+27,64.02,49.324,60.477,123.65,123.903,123.836,16.454,91.213,0.189
225.2293423019278,-115.1668932004141,20.10212835079114,112628549.0,0.539,8.9691117064915e+27,63.88,60.492,-63.539,122.185,123.466,123.112,17.336,-89.988,0.0556
224.90820438012034,-112.86938161556981,18.50417056018191,112628549.0,0.565,3.2060613520495e+24,63.603,40.587,-71.901,121.311,123.06,122.522,19.429,-72.173,0.0619
224.7725232696752,-110.1720980653171,16.180853840513784,112628549.0,0.517,7.8453625490868e+26,63.076,32.574,-7.407,121.304,122.752,122.141,23.056,-66.573,0.063
224.8216507846089,-107.07289288009156,13.068869081519793,112628549.0,0.749,2.6621265911539e+27,62.795,52.037,-31.767,121.339,122.393,121.774,24.038,32.261,0.0735
225.05805958807358,-103.568776789293,9.126714676362717,112628549.0,0.577,8.2476396225949e+26,62.547,61.577,8.752,121.339,121.972,121.503,23.31,-3.746,0.0596
225.4774611142424,-99.66610742651626,4.32940178898407,125804757.0,0.602,3.3291952729797e+27,62.421,69.683,-66.237,121.721,121.559,121.545,25.54,10.788,0.0698
226.054798187375,-95.39486374281978,-1.3407382585886503,148819200.0,0.67,7.1312952261422e+27,62.211,60.267,-175.912,122.257,121.577,121.818,30.41,-20.837,0.0582
